p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_pheWAS_hmp,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,p_multiphen,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
0.2305,0.2105,0.237,0.208,0.1995,0.2075,0.2005,NA,0.2335,0.434,0.4115,0.189,0.193,0.078,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.08846153846153845,Same -- Negative,1,0.08846153846153845,Same -- Positive,-0.0884615384615385/0/0/0,0.0884615384615385/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.317863975,0
0.6155,0.4835,0.587,0.469,0.4245,0.476,0.426,NA,0.4735,0.7245,0.712,0.37,0.3695,0.1495,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.08846153846153845,Opposite,3,0.08846153846153845,Same -- Positive,0.0884615384615385/-0.0884615384615385/0/0,0.0884615384615385/0.0884615384615385/0.0884615384615385/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180296,0
0.0565,0.0475,0.054,0.056,0.05,0.0575,0.051,NA,0.066,0.0565,0.0565,0.0465,0.049,0.07,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.01,Opposite,4,0.01,Same -- Positive,0.01/-0.01/0.01/-0.01,0.01/0.01/0.01/0.01,1000/1000/1000/1000/1000,8/7/6/5/8,0.317794625,0
0.8765,0.7365,0.853,0.7205,0.647,0.722,0.6525,NA,0.677,0.8765,0.8765,0.532,0.5325,0.206,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.08846153846153845,Opposite,4,0.08846153846153845,Same -- Positive,0.0884615384615385/-0.0884615384615385/0.0884615384615385/-0.0884615384615385,0.0884615384615385/0.0884615384615385/0.0884615384615385/0.0884615384615385,1000/1000/1000/1000/1000,8/7/6/5/8,0.31813225,0
0.2935,0.2765,0.3045,0.264,0.2605,0.264,0.253,NA,0.2895,0.495,0.475,0.239,0.2405,0.0825,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.09717948717948716,Same -- Negative,1,0.09717948717948716,Same -- Positive,-0.0971794871794872/0/0/0,0.0971794871794872/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31807845,0
0.734,0.6065,0.7165,0.584,0.539,0.592,0.5395,NA,0.5835,0.8145,0.804,0.4575,0.4655,0.1585,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.09717948717948716,Opposite,3,0.09717948717948716,Same -- Positive,0.0971794871794872/-0.0971794871794872/0/0,0.0971794871794872/0.0971794871794872/0.0971794871794872/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318137325,0
0.933,0.817,0.914,0.7965,0.7305,0.8015,0.733,NA,0.759,0.933,0.933,0.62,0.626,0.2575,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.09717948717948716,Opposite,4,0.09717948717948716,Same -- Positive,0.0971794871794872/-0.0971794871794872/0.0971794871794872/-0.0971794871794872,0.0971794871794872/0.0971794871794872/0.0971794871794872/0.0971794871794872,1000/1000/1000/1000/1000,8/7/6/5/8,0.31809075,0
0.346,0.3425,0.369,0.322,0.3155,0.3215,0.3135,NA,0.355,0.5825,0.5665,0.292,0.297,0.092,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.10589743589743587,Same -- Negative,1,0.10589743589743587,Same -- Positive,-0.105897435897436/0/0/0,0.105897435897436/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.317961325,0
0.819,0.6995,0.8005,0.6885,0.6345,0.693,0.6375,NA,0.681,0.8965,0.8855,0.553,0.56,0.195,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.10589743589743587,Opposite,3,0.10589743589743587,Same -- Positive,0.105897435897436/-0.105897435897436/0/0,0.105897435897436/0.105897435897436/0.105897435897436/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31806145,0
0.9705,0.891,0.9615,0.875,0.815,0.873,0.8215,NA,0.8435,0.9705,0.9705,0.695,0.7035,0.298,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.10589743589743587,Opposite,4,0.10589743589743587,Same -- Positive,0.105897435897436/-0.105897435897436/0.105897435897436/-0.105897435897436,0.105897435897436/0.105897435897436/0.105897435897436/0.105897435897436,1000/1000/1000/1000/1000,8/7/6/5/8,0.3181313,0
